Reference, Value, Footprint,Digikey Part #,In Cart, Datasheet
SW1,RESET,Buttons_Switches_SMD:SW_SPST_B3U-1000P,SW1020CT-ND?,3,~
C1,10uF,Capacitors_SMD:CP_Elec_3x5.3,338-1793-1-ND?,6,AVE106M16A12T-F
C2,10uF,Capacitors_SMD:CP_Elec_3x5.3,338-1793-1-ND?,,AVE106M16A12T-F
F1,500mA,Custom_Library:0805,507-2075-1-ND?,3,0ZCK0050AF2E
J6,VIN,Custom_Library:Conn_DC_Jack_2.35mm_TH,732-5920-ND?,3,~
J5,USB_B_Mini,Custom_Library:Conn_USB_Mini-B_TH,54-00019T-ND?,3,54-00019
H1,16-Jan,Custom_Library:M2_Isolated,N/A,0,~
H2,16-Jan,Custom_Library:M2_Isolated,N/A,,~
H3,16-Jan,Custom_Library:M2_Isolated,N/A,,~
H4,16-Jan,Custom_Library:M2_Isolated,N/A,,~
Y1,16MHz,Custom_Library:XTAL_SMD_CSTNE,490-17948-1-ND?,3,CSTNE16M0V530000R0
D1,RB560VM,Diodes_SMD:D_SOD-323_HandSoldering,1727-8169-1-ND?,6,~
D8,RB560VM,Diodes_SMD:D_SOD-323_HandSoldering,1727-8169-1-ND?,,~
U2,FT230XQ,Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm,768-1130-1-ND?,3,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT230X.pdf
U1,ATmega328P-AU,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,ATMEGA328P-AU-ND,3,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
D5,ON,LEDs:LED_0402,732-11992-1-ND?,10,~
D7,L,LEDs:LED_0402,732-11993-1-ND?,10,~
D4,RX,LEDs:LED_0402,732-11993-1-ND?,,~
D3,TX,LEDs:LED_0402,732-11993-1-ND?,,~
J2,AD,Pin_Headers:Pin_Header_Straight_1x06_Pitch1.27mm,S9008E-06-ND?,3,~
J4,IOL,Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm,S9008E-08-ND?,6,~
J1,POWER,Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm,S9008E-08-ND?,,~
J3,IOH,Pin_Headers:Pin_Header_Straight_1x10_Pitch1.27mm,S9008E-10-ND?,3,~
J9,EXTRA,Pin_Headers:Pin_Header_Straight_2x02_Pitch1.27mm,N/A,0,~
J8,DUMMY,Pin_Headers:Pin_Header_Straight_2x03_Pitch1.27mm,S9015E-03-ND?,6,~
J7,ICSP,Pin_Headers:Pin_Header_Straight_2x03_Pitch1.27mm,S9015E-03-ND?,,~
C3,0.1uF,Resistors_SMD:R_0402_NoSilk,732-7532-1-ND,15,~
C4,0.1uF,Resistors_SMD:R_0402_NoSilk,732-7532-1-ND,,~
C5,0.1uF,Resistors_SMD:R_0402_NoSilk,732-7532-1-ND,,~
C6,0.1uF,Resistors_SMD:R_0402_NoSilk,732-7532-1-ND,,~
R2,1M,Resistors_SMD:R_0402_NoSilk,RMCF0402FT1M00CT-ND,10,~
C7,1uF,Resistors_SMD:R_0402_NoSilk,399-4873-1-ND?,10,C0402C105K9PACTU
L1,BLM21,Resistors_SMD:R_0402_NoSilk,445-2981-1-ND?,3,MPZ1005S121CT000
C8,470pF,Resistors_SMD:R_0402_NoSilk,732-7554-1-ND?,10,~
D2,PGB1,Resistors_SMD:R_0402_NoSilk,F2862CT-ND?,6,~
D6,PGB1,Resistors_SMD:R_0402_NoSilk,F2862CT-ND?,,~
RN3,22,Resistors_SMD:R_Array_Convex_4x0402,741X083220JPCT-ND,3,
RN1,10k,Resistors_SMD:R_Array_Convex_4x0402,741X083103JPCT-ND,3,
RN2,1k,Resistors_SMD:R_Array_Convex_4x0402,741X083102JPCT-ND,6,
RN4,1k,Resistors_SMD:R_Array_Convex_4x0402,741X083102JPCT-ND,,
U3,MIC5219-5.0YM5,TO_SOT_Packages_SMD:SOT-23-5_HandSoldering,576-2770-1-ND?,3,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf
U4,MIC5365-3.3YC5,TO_SOT_Packages_SMD:SOT-353_SC-70-5,576-3193-1-ND?,3,http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf
